0	1E-06	4.5E-08	2490.83487163581	
1E-33	1E-06	4.5E-08	2490.83487163581	
3.1E-32	9.99999999999988E-07	4.49999999999996E-08	2490.83487163581	
6.3E-32	9.99999999999954E-07	4.49999999999982E-08	2490.83487163581	
4.52064298448787E-23	9.99999999991232E-07	4.49999999996236E-08	2490.83487163573	
1.89246168832822E-21	9.99999999996198E-07	4.49999999995148E-08	2490.83487163571	
2.85397861078036E-21	1.00000000000013E-06	4.4999999999515E-08	2490.83487163571	
4.15533887114549E-21	1.00000000000591E-06	4.49999999995341E-08	2490.83487163571	
2.51637989819683E-13	1.00062678823693E-06	4.49830841604027E-08	2490.83132888244	
2.74086596248598E-13	1.00068270392432E-06	4.49815751019227E-08	2490.83101265204	
4.73992154611216E-13	1.00118063461972E-06	4.49681369032563E-08	2490.82819529653	
5.42383412908439E-13	1.00135098545918E-06	4.49635394627097E-08	2490.8272308865	
7.70156587541173E-13	1.00191832872178E-06	4.49482279741257E-08	2490.8240169777	
8.95230619120011E-13	1.00222986601906E-06	4.49398201974895E-08	2490.82225085997	
1.06688185785714E-12	1.0026574185319E-06	4.49282814084678E-08	2490.81982553535	
1.11819492056816E-12	1.00278523010723E-06	4.49248320311174E-08	2490.81910017447	
1.27996448995587E-12	1.00318816866127E-06	4.49139575359032E-08	2490.81681237835	
1.40963689771567E-12	1.00351115876624E-06	4.49052406938635E-08	2490.81497738774	
1.61851014770944E-12	1.0040314231064E-06	4.48911998360286E-08	2490.81201952567	
1.83037381919193E-12	1.00455913536818E-06	4.48769579906671E-08	2490.80901666347	
1.88629990928482E-12	1.00469843655532E-06	4.48731985469117E-08	2490.80822354561	
2.1259019423714E-12	1.00529523886398E-06	4.48570921301371E-08	2490.80482350946	
2.14851297683064E-12	1.00535155853715E-06	4.48555721836928E-08	2490.8045024741	
2.37644564313226E-12	1.00591929388479E-06	4.4840250242549E-08	2490.80126454182	
2.47038515509159E-12	1.00615327848296E-06	4.48339355128611E-08	2490.79992916621	
2.66441400914665E-12	1.0066365652733E-06	4.48208926754481E-08	2490.79716932241	
2.76567334923068E-12	1.00688878167536E-06	4.48140859201524E-08	2490.79572812642	
2.86822182803333E-12	1.00714420891296E-06	4.48071925152542E-08	2490.79426795642	
3.00237076849913E-12	1.00747834619911E-06	4.47981749092735E-08	2490.79235688118	
3.20303021570909E-12	1.00797814692475E-06	4.47846864356864E-08	2490.78949628731	
3.26267222921277E-12	1.00812670260111E-06	4.47806772618979E-08	2490.78864556683	
3.46675887947725E-12	1.00863503902826E-06	4.47669584478813E-08	2490.78573290279	
3.64764388793355E-12	1.00908558461851E-06	4.47547992857393E-08	2490.78314927157	
3.72142770798906E-12	1.00926936406688E-06	4.47498395159804E-08	2490.7820948313	
3.7525135259618E-12	1.00934679206083E-06	4.474774991921E-08	2490.78165048746	
4.00325116694619E-12	1.00997132433677E-06	4.47308952963024E-08	2490.77806428898	
4.06192318254048E-12	1.01011746328255E-06	4.47269513611752E-08	2490.77722457967	
4.27100623227719E-12	1.01063824227076E-06	4.47128968114233E-08	2490.77423050977	
4.30184552642853E-12	1.01071505598562E-06	4.47108237986068E-08	2490.77378866753	
4.51703181401565E-12	1.01125103602244E-06	4.46963590284085E-08	2490.77070404015	
4.63094954514606E-12	1.01153477888366E-06	4.46887015197742E-08	2490.76906993159	
4.79019886959331E-12	1.01193143199143E-06	4.4677996854655E-08	2490.76678424105	
4.84073897184734E-12	1.01205731558106E-06	4.46745995765326E-08	2490.76605852257	
4.99805280053342E-12	1.01244914735316E-06	4.46640250386606E-08	2490.76379862121	
5.11860065235039E-12	1.01274940348223E-06	4.46559218991774E-08	2490.76206586778	
5.3511512257598E-12	1.01332863124758E-06	4.46402900487528E-08	2490.75872069585	
5.37354910229001E-12	1.01338441894856E-06	4.46387844849291E-08	2490.7583983355	
5.61659630297115E-12	1.01398979038517E-06	4.46224471075642E-08	2490.75489832847	
5.63002464313574E-12	1.01402323708721E-06	4.46215444699922E-08	2490.75470484857	
5.86300683226288E-12	1.01460353818897E-06	4.46058836957257E-08	2490.75134621681	
5.96863911317533E-12	1.01486664186051E-06	4.45987832378829E-08	2490.74982234981	
6.15549637220213E-12	1.01533205629254E-06	4.45862229688657E-08	2490.74712505228	
6.21619426245851E-12	1.01548323936254E-06	4.45821429518837E-08	2490.74624841538	
6.29713716437452E-12	1.01568484754757E-06	4.45767021011748E-08	2490.7450790372	
6.43146249048031E-12	1.01601941757225E-06	4.45676729809949E-08	2490.7431375621	
6.62880760857083E-12	1.01651095328308E-06	4.4554407803124E-08	2490.74028322722	
6.69300472397049E-12	1.01667085159707E-06	4.45500925965238E-08	2490.73935418738	
6.95850618615325E-12	1.01733214605254E-06	4.45322461310722E-08	2490.73550925466	
6.96118133936903E-12	1.01733880915123E-06	4.45320663130443E-08	2490.7354704917	
7.21376438015262E-12	1.01796792623584E-06	4.45150882480059E-08	2490.73180858638	
7.22824142736441E-12	1.01800398467827E-06	4.45141151347648E-08	2490.73159858195	
7.43308603313554E-12	1.01851419731325E-06	4.45003459776449E-08	2490.7286257205	
7.5314636665976E-12	1.0187592292353E-06	4.44937332831211E-08	2490.72719707202	
7.72479198905396E-12	1.01924075707509E-06	4.44807382662597E-08	2490.72438780615	
7.7796516231669E-12	1.01937739728246E-06	4.44770507523278E-08	2490.72359021815	
7.96038844694134E-12	1.01982756252499E-06	4.44649021351193E-08	2490.7209612266	
8.11653681662448E-12	1.02021648438066E-06	4.44544063036003E-08	2490.71868827549	
